strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
477.5,CALL,2024-03-17,22.00,24.31,0.950,0.049,-0.232,2.32,5025,1507
477.5,PUT,2024-03-17,10.55,11.66,-0.456,0.034,-0.111,1.11,5272,1581
482.5,CALL,2024-03-17,22.00,24.31,0.950,0.049,-0.232,2.32,5025,1507
482.5,PUT,2024-03-17,10.48,11.59,-0.453,0.034,-0.110,1.10,5273,1581
485.0,CALL,2024-03-17,22.00,24.31,0.950,0.049,-0.232,2.32,5025,1507
485.0,PUT,2024-03-17,10.45,11.55,-0.451,0.034,-0.110,1.10,5274,1582
487.5,CALL,2024-03-17,20.84,23.03,0.900,0.047,-0.219,2.19,5050,1515
487.5,PUT,2024-03-17,9.26,10.24,-0.400,0.032,-0.098,0.98,5300,1590
490.0,CALL,2024-03-17,14.56,16.09,0.629,0.039,-0.153,1.53,5185,1555
490.0,PUT,2024-03-17,9.22,10.19,-0.398,0.032,-0.097,0.97,5301,1590
492.5,CALL,2024-03-17,14.52,16.05,0.627,0.039,-0.153,1.53,5186,1555
492.5,PUT,2024-03-17,9.17,10.13,-0.396,0.032,-0.097,0.97,5302,1590
497.5,CALL,2024-03-17,14.46,15.98,0.624,0.039,-0.152,1.52,5187,1556
497.5,PUT,2024-03-17,9.08,10.03,-0.392,0.032,-0.096,0.96,5304,1591
