strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
465.1,CALL,2024-03-02,21.44,23.70,0.950,0.049,-0.226,2.26,5025,1507
465.1,PUT,2024-03-02,10.28,11.37,-0.456,0.034,-0.108,1.08,5272,1581
470.1,CALL,2024-03-02,21.44,23.70,0.950,0.049,-0.226,2.26,5025,1507
470.1,PUT,2024-03-02,10.22,11.30,-0.453,0.034,-0.108,1.08,5273,1581
472.6,CALL,2024-03-02,21.44,23.70,0.950,0.049,-0.226,2.26,5025,1507
472.6,PUT,2024-03-02,10.19,11.26,-0.451,0.034,-0.107,1.07,5274,1582
475.1,CALL,2024-03-02,20.31,22.45,0.900,0.047,-0.214,2.14,5050,1515
475.1,PUT,2024-03-02,9.03,9.98,-0.400,0.032,-0.095,0.95,5300,1590
477.6,CALL,2024-03-02,14.18,15.68,0.629,0.039,-0.149,1.49,5185,1555
477.6,PUT,2024-03-02,8.98,9.92,-0.398,0.032,-0.095,0.95,5301,1590
480.1,CALL,2024-03-02,14.15,15.64,0.627,0.039,-0.149,1.49,5186,1555
480.1,PUT,2024-03-02,8.93,9.87,-0.396,0.032,-0.094,0.94,5302,1590
485.1,CALL,2024-03-02,14.09,15.57,0.624,0.039,-0.148,1.48,5187,1556
485.1,PUT,2024-03-02,8.84,9.77,-0.392,0.032,-0.093,0.93,5304,1591
