strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
471.8,CALL,2024-03-09,21.74,24.03,0.950,0.049,-0.229,2.29,5025,1507
471.8,PUT,2024-03-09,10.43,11.52,-0.456,0.034,-0.110,1.10,5272,1581
476.8,CALL,2024-03-09,21.74,24.03,0.950,0.049,-0.229,2.29,5025,1507
476.8,PUT,2024-03-09,10.36,11.45,-0.453,0.034,-0.109,1.09,5273,1581
479.3,CALL,2024-03-09,21.74,24.03,0.950,0.049,-0.229,2.29,5025,1507
479.3,PUT,2024-03-09,10.33,11.42,-0.451,0.034,-0.109,1.09,5274,1582
481.8,CALL,2024-03-09,20.60,22.77,0.900,0.047,-0.217,2.17,5050,1515
481.8,PUT,2024-03-09,9.15,10.12,-0.400,0.032,-0.096,0.96,5300,1590
484.3,CALL,2024-03-09,14.38,15.90,0.629,0.039,-0.151,1.51,5185,1555
484.3,PUT,2024-03-09,9.11,10.07,-0.398,0.032,-0.096,0.96,5301,1590
486.8,CALL,2024-03-09,14.35,15.86,0.627,0.039,-0.151,1.51,5186,1555
486.8,PUT,2024-03-09,9.06,10.01,-0.396,0.032,-0.095,0.95,5302,1590
491.8,CALL,2024-03-09,14.29,15.79,0.624,0.039,-0.150,1.50,5187,1556
491.8,PUT,2024-03-09,8.97,9.91,-0.392,0.032,-0.094,0.94,5304,1591
