strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
492.1,CALL,2024-03-30,22.66,25.04,0.950,0.049,-0.238,2.38,5025,1507
492.1,PUT,2024-03-30,10.86,12.00,-0.455,0.034,-0.114,1.14,5272,1581
497.1,CALL,2024-03-30,22.66,25.04,0.950,0.049,-0.238,2.38,5025,1507
497.1,PUT,2024-03-30,10.80,11.93,-0.453,0.034,-0.114,1.14,5273,1581
499.6,CALL,2024-03-30,22.66,25.04,0.950,0.049,-0.238,2.38,5025,1507
499.6,PUT,2024-03-30,10.76,11.90,-0.451,0.034,-0.113,1.13,5274,1582
502.1,CALL,2024-03-30,21.46,23.72,0.900,0.047,-0.226,2.26,5050,1515
502.1,PUT,2024-03-30,9.54,10.54,-0.400,0.032,-0.100,1.00,5300,1590
504.6,CALL,2024-03-30,14.99,16.57,0.629,0.039,-0.158,1.58,5185,1555
504.6,PUT,2024-03-30,9.49,10.49,-0.398,0.032,-0.100,1.00,5300,1590
507.1,CALL,2024-03-30,14.96,16.53,0.627,0.039,-0.157,1.57,5186,1555
507.1,PUT,2024-03-30,9.45,10.44,-0.396,0.032,-0.099,0.99,5301,1590
512.1,CALL,2024-03-30,14.89,16.46,0.625,0.039,-0.157,1.57,5187,1556
512.1,PUT,2024-03-30,9.35,10.34,-0.392,0.032,-0.098,0.98,5303,1590
