strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
474.2,CALL,2024-03-11,21.85,24.15,0.950,0.049,-0.230,2.30,5025,1507
474.2,PUT,2024-03-11,10.48,11.58,-0.456,0.034,-0.110,1.10,5272,1581
479.2,CALL,2024-03-11,21.85,24.15,0.950,0.049,-0.230,2.30,5025,1507
479.2,PUT,2024-03-11,10.41,11.51,-0.453,0.034,-0.110,1.10,5273,1581
481.7,CALL,2024-03-11,21.85,24.15,0.950,0.049,-0.230,2.30,5025,1507
481.7,PUT,2024-03-11,10.38,11.47,-0.451,0.034,-0.109,1.09,5274,1582
484.2,CALL,2024-03-11,20.70,22.88,0.900,0.047,-0.218,2.18,5050,1515
484.2,PUT,2024-03-11,9.20,10.17,-0.400,0.032,-0.097,0.97,5300,1590
486.7,CALL,2024-03-11,14.46,15.98,0.629,0.039,-0.152,1.52,5185,1555
486.7,PUT,2024-03-11,9.15,10.12,-0.398,0.032,-0.096,0.96,5301,1590
489.2,CALL,2024-03-11,14.42,15.94,0.627,0.039,-0.152,1.52,5186,1555
489.2,PUT,2024-03-11,9.11,10.06,-0.396,0.032,-0.096,0.96,5302,1590
494.2,CALL,2024-03-11,14.36,15.87,0.624,0.039,-0.151,1.51,5187,1556
494.2,PUT,2024-03-11,9.01,9.96,-0.392,0.032,-0.095,0.95,5304,1591
