strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
483.0,CALL,2024-03-19,22.25,24.59,0.950,0.049,-0.234,2.34,5025,1507
483.0,PUT,2024-03-19,10.67,11.79,-0.455,0.034,-0.112,1.12,5272,1581
488.0,CALL,2024-03-19,22.25,24.59,0.950,0.049,-0.234,2.34,5025,1507
488.0,PUT,2024-03-19,10.60,11.72,-0.453,0.034,-0.112,1.12,5273,1581
490.5,CALL,2024-03-19,22.25,24.59,0.950,0.049,-0.234,2.34,5025,1507
490.5,PUT,2024-03-19,10.57,11.68,-0.451,0.034,-0.111,1.11,5274,1582
493.0,CALL,2024-03-19,21.08,23.29,0.900,0.047,-0.222,2.22,5050,1515
493.0,PUT,2024-03-19,9.37,10.35,-0.400,0.032,-0.099,0.99,5300,1590
495.5,CALL,2024-03-19,14.72,16.27,0.629,0.039,-0.155,1.55,5185,1555
495.5,PUT,2024-03-19,9.32,10.30,-0.398,0.032,-0.098,0.98,5301,1590
498.0,CALL,2024-03-19,14.69,16.23,0.627,0.039,-0.155,1.55,5186,1555
498.0,PUT,2024-03-19,9.27,10.25,-0.396,0.032,-0.098,0.98,5302,1590
503.0,CALL,2024-03-19,14.62,16.16,0.624,0.039,-0.154,1.54,5187,1556
503.0,PUT,2024-03-19,9.18,10.15,-0.392,0.032,-0.097,0.97,5303,1590
