strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
477.9,CALL,2024-03-16,22.02,24.33,0.950,0.049,-0.232,2.32,5025,1507
477.9,PUT,2024-03-16,10.56,11.67,-0.456,0.034,-0.111,1.11,5272,1581
482.9,CALL,2024-03-16,22.02,24.33,0.950,0.049,-0.232,2.32,5025,1507
482.9,PUT,2024-03-16,10.49,11.60,-0.453,0.034,-0.110,1.10,5273,1581
485.4,CALL,2024-03-16,22.02,24.33,0.950,0.049,-0.232,2.32,5025,1507
485.4,PUT,2024-03-16,10.46,11.56,-0.451,0.034,-0.110,1.10,5274,1582
487.9,CALL,2024-03-16,20.86,23.05,0.900,0.047,-0.220,2.20,5050,1515
487.9,PUT,2024-03-16,9.27,10.25,-0.400,0.032,-0.098,0.98,5300,1590
490.4,CALL,2024-03-16,14.57,16.10,0.629,0.039,-0.153,1.53,5185,1555
490.4,PUT,2024-03-16,9.22,10.19,-0.398,0.032,-0.097,0.97,5301,1590
492.9,CALL,2024-03-16,14.53,16.06,0.627,0.039,-0.153,1.53,5186,1555
492.9,PUT,2024-03-16,9.18,10.14,-0.396,0.032,-0.097,0.97,5302,1590
497.9,CALL,2024-03-16,14.47,15.99,0.624,0.039,-0.152,1.52,5187,1556
497.9,PUT,2024-03-16,9.08,10.04,-0.392,0.032,-0.096,0.96,5304,1591
