strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
469.3,CALL,2024-03-05,21.63,23.91,0.950,0.049,-0.228,2.28,5025,1507
469.3,PUT,2024-03-05,10.37,11.47,-0.456,0.034,-0.109,1.09,5272,1581
474.3,CALL,2024-03-05,21.63,23.91,0.950,0.049,-0.228,2.28,5025,1507
474.3,PUT,2024-03-05,10.31,11.39,-0.453,0.034,-0.109,1.09,5273,1581
476.8,CALL,2024-03-05,21.63,23.91,0.950,0.049,-0.228,2.28,5025,1507
476.8,PUT,2024-03-05,10.28,11.36,-0.451,0.034,-0.108,1.08,5274,1582
479.3,CALL,2024-03-05,20.49,22.65,0.900,0.047,-0.216,2.16,5050,1515
479.3,PUT,2024-03-05,9.11,10.07,-0.400,0.032,-0.096,0.96,5300,1590
481.8,CALL,2024-03-05,14.31,15.82,0.629,0.039,-0.151,1.51,5185,1555
481.8,PUT,2024-03-05,9.06,10.01,-0.398,0.032,-0.095,0.95,5301,1590
484.3,CALL,2024-03-05,14.28,15.78,0.627,0.039,-0.150,1.50,5186,1555
484.3,PUT,2024-03-05,9.01,9.96,-0.396,0.032,-0.095,0.95,5302,1590
489.3,CALL,2024-03-05,14.21,15.71,0.624,0.039,-0.150,1.50,5187,1556
489.3,PUT,2024-03-05,8.92,9.86,-0.392,0.032,-0.094,0.94,5304,1591
