strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
491.9,CALL,2024-03-31,22.65,25.03,0.950,0.049,-0.238,2.38,5025,1507
491.9,PUT,2024-03-31,10.86,12.00,-0.455,0.034,-0.114,1.14,5272,1581
496.9,CALL,2024-03-31,22.65,25.03,0.950,0.049,-0.238,2.38,5025,1507
496.9,PUT,2024-03-31,10.79,11.93,-0.453,0.034,-0.114,1.14,5273,1581
499.4,CALL,2024-03-31,22.65,25.03,0.950,0.049,-0.238,2.38,5025,1507
499.4,PUT,2024-03-31,10.76,11.89,-0.451,0.034,-0.113,1.13,5274,1582
501.9,CALL,2024-03-31,21.46,23.71,0.900,0.047,-0.226,2.26,5050,1515
501.9,PUT,2024-03-31,9.54,10.54,-0.400,0.032,-0.100,1.00,5300,1590
504.4,CALL,2024-03-31,14.99,16.56,0.629,0.039,-0.158,1.58,5185,1555
504.4,PUT,2024-03-31,9.49,10.49,-0.398,0.032,-0.100,1.00,5300,1590
506.9,CALL,2024-03-31,14.95,16.53,0.627,0.039,-0.157,1.57,5186,1555
506.9,PUT,2024-03-31,9.44,10.44,-0.396,0.032,-0.099,0.99,5301,1590
511.9,CALL,2024-03-31,14.89,16.46,0.625,0.039,-0.157,1.57,5187,1556
511.9,PUT,2024-03-31,9.35,10.33,-0.392,0.032,-0.098,0.98,5303,1590
