strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
470.2,CALL,2024-03-08,21.67,23.95,0.950,0.049,-0.228,2.28,5025,1507
470.2,PUT,2024-03-08,10.39,11.49,-0.456,0.034,-0.109,1.09,5272,1581
475.2,CALL,2024-03-08,21.67,23.95,0.950,0.049,-0.228,2.28,5025,1507
475.2,PUT,2024-03-08,10.33,11.42,-0.453,0.034,-0.109,1.09,5273,1581
477.7,CALL,2024-03-08,21.67,23.95,0.950,0.049,-0.228,2.28,5025,1507
477.7,PUT,2024-03-08,10.30,11.38,-0.451,0.034,-0.108,1.08,5274,1582
480.2,CALL,2024-03-08,20.53,22.69,0.900,0.047,-0.216,2.16,5050,1515
480.2,PUT,2024-03-08,9.12,10.08,-0.400,0.032,-0.096,0.96,5300,1590
482.7,CALL,2024-03-08,14.34,15.85,0.629,0.039,-0.151,1.51,5185,1555
482.7,PUT,2024-03-08,9.08,10.03,-0.398,0.032,-0.096,0.96,5301,1590
485.2,CALL,2024-03-08,14.30,15.81,0.627,0.039,-0.151,1.51,5186,1555
485.2,PUT,2024-03-08,9.03,9.98,-0.396,0.032,-0.095,0.95,5302,1590
490.2,CALL,2024-03-08,14.24,15.74,0.624,0.039,-0.150,1.50,5187,1556
490.2,PUT,2024-03-08,8.94,9.88,-0.392,0.032,-0.094,0.94,5304,1591
