strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
473.8,CALL,2024-03-12,21.83,24.13,0.950,0.049,-0.230,2.30,5025,1507
473.8,PUT,2024-03-12,10.47,11.57,-0.456,0.034,-0.110,1.10,5272,1581
478.8,CALL,2024-03-12,21.83,24.13,0.950,0.049,-0.230,2.30,5025,1507
478.8,PUT,2024-03-12,10.41,11.50,-0.453,0.034,-0.110,1.10,5273,1581
481.3,CALL,2024-03-12,21.83,24.13,0.950,0.049,-0.230,2.30,5025,1507
481.3,PUT,2024-03-12,10.37,11.47,-0.451,0.034,-0.109,1.09,5274,1582
483.8,CALL,2024-03-12,20.68,22.86,0.900,0.047,-0.218,2.18,5050,1515
483.8,PUT,2024-03-12,9.19,10.16,-0.400,0.032,-0.097,0.97,5300,1590
486.3,CALL,2024-03-12,14.44,15.97,0.629,0.039,-0.152,1.52,5185,1555
486.3,PUT,2024-03-12,9.14,10.11,-0.398,0.032,-0.096,0.96,5301,1590
488.8,CALL,2024-03-12,14.41,15.93,0.627,0.039,-0.152,1.52,5186,1555
488.8,PUT,2024-03-12,9.10,10.06,-0.396,0.032,-0.096,0.96,5302,1590
493.8,CALL,2024-03-12,14.35,15.86,0.624,0.039,-0.151,1.51,5187,1556
493.8,PUT,2024-03-12,9.01,9.95,-0.392,0.032,-0.095,0.95,5304,1591
