strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
484.8,CALL,2024-03-22,22.33,24.68,0.950,0.049,-0.235,2.35,5025,1507
484.8,PUT,2024-03-22,10.70,11.83,-0.455,0.034,-0.113,1.13,5272,1581
489.8,CALL,2024-03-22,22.33,24.68,0.950,0.049,-0.235,2.35,5025,1507
489.8,PUT,2024-03-22,10.64,11.76,-0.453,0.034,-0.112,1.12,5273,1581
492.3,CALL,2024-03-22,22.33,24.68,0.950,0.049,-0.235,2.35,5025,1507
492.3,PUT,2024-03-22,10.61,11.73,-0.451,0.034,-0.112,1.12,5274,1582
494.8,CALL,2024-03-22,21.15,23.38,0.900,0.047,-0.223,2.23,5050,1515
494.8,PUT,2024-03-22,9.40,10.39,-0.400,0.032,-0.099,0.99,5300,1590
497.3,CALL,2024-03-22,14.77,16.33,0.629,0.039,-0.156,1.56,5185,1555
497.3,PUT,2024-03-22,9.35,10.34,-0.398,0.032,-0.098,0.98,5301,1590
499.8,CALL,2024-03-22,14.74,16.29,0.627,0.039,-0.155,1.55,5186,1555
499.8,PUT,2024-03-22,9.31,10.29,-0.396,0.032,-0.098,0.98,5302,1590
504.8,CALL,2024-03-22,14.68,16.22,0.624,0.039,-0.154,1.54,5187,1556
504.8,PUT,2024-03-22,9.21,10.18,-0.392,0.032,-0.097,0.97,5303,1590
