strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
465.6,CALL,2024-03-04,21.46,23.72,0.950,0.049,-0.226,2.26,5025,1507
465.6,PUT,2024-03-04,10.29,11.38,-0.456,0.034,-0.108,1.08,5272,1581
470.6,CALL,2024-03-04,21.46,23.72,0.950,0.049,-0.226,2.26,5025,1507
470.6,PUT,2024-03-04,10.23,11.31,-0.453,0.034,-0.108,1.08,5273,1581
473.1,CALL,2024-03-04,21.46,23.72,0.950,0.049,-0.226,2.26,5025,1507
473.1,PUT,2024-03-04,10.20,11.27,-0.451,0.034,-0.107,1.07,5274,1582
475.6,CALL,2024-03-04,20.33,22.47,0.900,0.047,-0.214,2.14,5050,1515
475.6,PUT,2024-03-04,9.04,9.99,-0.400,0.032,-0.095,0.95,5300,1590
478.1,CALL,2024-03-04,14.20,15.69,0.629,0.039,-0.149,1.49,5185,1555
478.1,PUT,2024-03-04,8.99,9.94,-0.398,0.032,-0.095,0.95,5301,1590
480.6,CALL,2024-03-04,14.17,15.66,0.627,0.039,-0.149,1.49,5186,1555
480.6,PUT,2024-03-04,8.94,9.88,-0.396,0.032,-0.094,0.94,5302,1590
485.6,CALL,2024-03-04,14.10,15.59,0.624,0.039,-0.148,1.48,5187,1556
485.6,PUT,2024-03-04,8.85,9.78,-0.392,0.032,-0.093,0.93,5304,1591
