strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
488.9,CALL,2024-03-25,22.51,24.88,0.950,0.049,-0.237,2.37,5025,1507
488.9,PUT,2024-03-25,10.79,11.93,-0.455,0.034,-0.114,1.14,5272,1581
493.9,CALL,2024-03-25,22.51,24.88,0.950,0.049,-0.237,2.37,5025,1507
493.9,PUT,2024-03-25,10.73,11.86,-0.453,0.034,-0.113,1.13,5273,1581
496.4,CALL,2024-03-25,22.51,24.88,0.950,0.049,-0.237,2.37,5025,1507
496.4,PUT,2024-03-25,10.70,11.82,-0.451,0.034,-0.113,1.13,5274,1582
498.9,CALL,2024-03-25,21.33,23.57,0.900,0.047,-0.225,2.25,5050,1515
498.9,PUT,2024-03-25,9.48,10.48,-0.400,0.032,-0.100,1.00,5300,1590
501.4,CALL,2024-03-25,14.90,16.46,0.629,0.039,-0.157,1.57,5185,1555
501.4,PUT,2024-03-25,9.43,10.42,-0.398,0.032,-0.099,0.99,5300,1590
503.9,CALL,2024-03-25,14.86,16.43,0.627,0.039,-0.156,1.56,5186,1555
503.9,PUT,2024-03-25,9.39,10.37,-0.396,0.032,-0.099,0.99,5301,1590
508.9,CALL,2024-03-25,14.80,16.36,0.624,0.039,-0.156,1.56,5187,1556
508.9,PUT,2024-03-25,9.29,10.27,-0.392,0.032,-0.098,0.98,5303,1590
