strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
485.1,CALL,2024-03-23,22.34,24.69,0.950,0.049,-0.235,2.35,5025,1507
485.1,PUT,2024-03-23,10.71,11.84,-0.455,0.034,-0.113,1.13,5272,1581
490.1,CALL,2024-03-23,22.34,24.69,0.950,0.049,-0.235,2.35,5025,1507
490.1,PUT,2024-03-23,10.65,11.77,-0.453,0.034,-0.112,1.12,5273,1581
492.6,CALL,2024-03-23,22.34,24.69,0.950,0.049,-0.235,2.35,5025,1507
492.6,PUT,2024-03-23,10.61,11.73,-0.451,0.034,-0.112,1.12,5274,1582
495.1,CALL,2024-03-23,21.17,23.39,0.900,0.047,-0.223,2.23,5050,1515
495.1,PUT,2024-03-23,9.41,10.40,-0.400,0.032,-0.099,0.99,5300,1590
497.6,CALL,2024-03-23,14.78,16.34,0.629,0.039,-0.156,1.56,5185,1555
497.6,PUT,2024-03-23,9.36,10.34,-0.398,0.032,-0.099,0.99,5301,1590
500.1,CALL,2024-03-23,14.75,16.30,0.627,0.039,-0.155,1.55,5186,1555
500.1,PUT,2024-03-23,9.31,10.29,-0.396,0.032,-0.098,0.98,5301,1590
505.1,CALL,2024-03-23,14.69,16.23,0.624,0.039,-0.155,1.55,5187,1556
505.1,PUT,2024-03-23,9.22,10.19,-0.392,0.032,-0.097,0.97,5303,1590
