strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
490.5,CALL,2024-03-29,22.59,24.96,0.950,0.049,-0.238,2.38,5025,1507
490.5,PUT,2024-03-29,10.83,11.97,-0.455,0.034,-0.114,1.14,5272,1581
495.5,CALL,2024-03-29,22.59,24.96,0.950,0.049,-0.238,2.38,5025,1507
495.5,PUT,2024-03-29,10.76,11.90,-0.453,0.034,-0.113,1.13,5273,1581
498.0,CALL,2024-03-29,22.59,24.96,0.950,0.049,-0.238,2.38,5025,1507
498.0,PUT,2024-03-29,10.73,11.86,-0.451,0.034,-0.113,1.13,5274,1582
500.5,CALL,2024-03-29,21.40,23.65,0.900,0.047,-0.225,2.25,5050,1515
500.5,PUT,2024-03-29,9.51,10.51,-0.400,0.032,-0.100,1.00,5300,1590
503.0,CALL,2024-03-29,14.94,16.52,0.629,0.039,-0.157,1.57,5185,1555
503.0,PUT,2024-03-29,9.46,10.46,-0.398,0.032,-0.100,1.00,5300,1590
505.5,CALL,2024-03-29,14.91,16.48,0.627,0.039,-0.157,1.57,5186,1555
505.5,PUT,2024-03-29,9.42,10.41,-0.396,0.032,-0.099,0.99,5301,1590
510.5,CALL,2024-03-29,14.85,16.41,0.625,0.039,-0.156,1.56,5187,1556
510.5,PUT,2024-03-29,9.32,10.30,-0.392,0.032,-0.098,0.98,5303,1590
