strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
489.8,CALL,2024-03-26,22.55,24.93,0.950,0.049,-0.237,2.37,5025,1507
489.8,PUT,2024-03-26,10.81,11.95,-0.455,0.034,-0.114,1.14,5272,1581
494.8,CALL,2024-03-26,22.55,24.93,0.950,0.049,-0.237,2.37,5025,1507
494.8,PUT,2024-03-26,10.75,11.88,-0.453,0.034,-0.113,1.13,5273,1581
497.3,CALL,2024-03-26,22.55,24.93,0.950,0.049,-0.237,2.37,5025,1507
497.3,PUT,2024-03-26,10.72,11.84,-0.451,0.034,-0.113,1.13,5274,1582
499.8,CALL,2024-03-26,21.37,23.62,0.900,0.047,-0.225,2.25,5050,1515
499.8,PUT,2024-03-26,9.50,10.50,-0.400,0.032,-0.100,1.00,5300,1590
502.3,CALL,2024-03-26,14.92,16.49,0.629,0.039,-0.157,1.57,5185,1555
502.3,PUT,2024-03-26,9.45,10.44,-0.398,0.032,-0.099,0.99,5300,1590
504.8,CALL,2024-03-26,14.89,16.46,0.627,0.039,-0.157,1.57,5186,1555
504.8,PUT,2024-03-26,9.40,10.39,-0.396,0.032,-0.099,0.99,5301,1590
509.8,CALL,2024-03-26,14.83,16.39,0.625,0.039,-0.156,1.56,5187,1556
509.8,PUT,2024-03-26,9.31,10.29,-0.392,0.032,-0.098,0.98,5303,1590
