strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
472.1,CALL,2024-03-10,21.75,24.04,0.950,0.049,-0.229,2.29,5025,1507
472.1,PUT,2024-03-10,10.43,11.53,-0.456,0.034,-0.110,1.10,5272,1581
477.1,CALL,2024-03-10,21.75,24.04,0.950,0.049,-0.229,2.29,5025,1507
477.1,PUT,2024-03-10,10.37,11.46,-0.453,0.034,-0.109,1.09,5273,1581
479.6,CALL,2024-03-10,21.75,24.04,0.950,0.049,-0.229,2.29,5025,1507
479.6,PUT,2024-03-10,10.34,11.43,-0.451,0.034,-0.109,1.09,5274,1582
482.1,CALL,2024-03-10,20.61,22.78,0.900,0.047,-0.217,2.17,5050,1515
482.1,PUT,2024-03-10,9.16,10.12,-0.400,0.032,-0.096,0.96,5300,1590
484.6,CALL,2024-03-10,14.39,15.91,0.629,0.039,-0.152,1.52,5185,1555
484.6,PUT,2024-03-10,9.11,10.07,-0.398,0.032,-0.096,0.96,5301,1590
487.1,CALL,2024-03-10,14.36,15.87,0.627,0.039,-0.151,1.51,5186,1555
487.1,PUT,2024-03-10,9.07,10.02,-0.396,0.032,-0.095,0.95,5302,1590
492.1,CALL,2024-03-10,14.30,15.80,0.624,0.039,-0.150,1.50,5187,1556
492.1,PUT,2024-03-10,8.97,9.92,-0.392,0.032,-0.094,0.94,5304,1591
