strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
466.8,CALL,2024-03-03,21.52,23.78,0.950,0.049,-0.226,2.26,5025,1507
466.8,PUT,2024-03-03,10.32,11.41,-0.456,0.034,-0.109,1.09,5272,1581
471.8,CALL,2024-03-03,21.52,23.78,0.950,0.049,-0.226,2.26,5025,1507
471.8,PUT,2024-03-03,10.26,11.34,-0.453,0.034,-0.108,1.08,5273,1581
474.3,CALL,2024-03-03,21.52,23.78,0.950,0.049,-0.226,2.26,5025,1507
474.3,PUT,2024-03-03,10.22,11.30,-0.451,0.034,-0.108,1.08,5274,1582
476.8,CALL,2024-03-03,20.38,22.53,0.900,0.047,-0.215,2.15,5050,1515
476.8,PUT,2024-03-03,9.06,10.01,-0.400,0.032,-0.095,0.95,5300,1590
479.3,CALL,2024-03-03,14.24,15.73,0.629,0.039,-0.150,1.50,5185,1555
479.3,PUT,2024-03-03,9.01,9.96,-0.398,0.032,-0.095,0.95,5301,1590
481.8,CALL,2024-03-03,14.20,15.70,0.627,0.039,-0.149,1.49,5186,1555
481.8,PUT,2024-03-03,8.97,9.91,-0.396,0.032,-0.094,0.94,5302,1590
486.8,CALL,2024-03-03,14.14,15.63,0.624,0.039,-0.149,1.49,5187,1556
486.8,PUT,2024-03-03,8.87,9.81,-0.392,0.032,-0.093,0.93,5304,1591
