strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
487.2,CALL,2024-03-24,22.44,24.80,0.950,0.049,-0.236,2.36,5025,1507
487.2,PUT,2024-03-24,10.76,11.89,-0.455,0.034,-0.113,1.13,5272,1581
492.2,CALL,2024-03-24,22.44,24.80,0.950,0.049,-0.236,2.36,5025,1507
492.2,PUT,2024-03-24,10.69,11.82,-0.453,0.034,-0.113,1.13,5273,1581
494.7,CALL,2024-03-24,22.44,24.80,0.950,0.049,-0.236,2.36,5025,1507
494.7,PUT,2024-03-24,10.66,11.78,-0.451,0.034,-0.112,1.12,5274,1582
497.2,CALL,2024-03-24,21.26,23.49,0.900,0.047,-0.224,2.24,5050,1515
497.2,PUT,2024-03-24,9.45,10.44,-0.400,0.032,-0.099,0.99,5300,1590
499.7,CALL,2024-03-24,14.85,16.41,0.629,0.039,-0.156,1.56,5185,1555
499.7,PUT,2024-03-24,9.40,10.39,-0.398,0.032,-0.099,0.99,5301,1590
502.2,CALL,2024-03-24,14.81,16.37,0.627,0.039,-0.156,1.56,5186,1555
502.2,PUT,2024-03-24,9.35,10.34,-0.396,0.032,-0.098,0.98,5301,1590
507.2,CALL,2024-03-24,14.75,16.30,0.624,0.039,-0.155,1.55,5187,1556
507.2,PUT,2024-03-24,9.26,10.24,-0.392,0.032,-0.097,0.97,5303,1590
